name,adress,c,cp,e,date,note,h,adress2,lat,long
"WAL-MART GROCERY ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,92,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,7925225","-96,6887312"
"WAL-MART SUPERCENTER #5147 - BAKERY ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,100,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,763359","-96,897163"
"WAL-MART SUPERCENTER #5147 - DELI ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,89,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,763359","-96,897163"
"WAL-MART BAKERY ","12789 MIDWAY RD ",,75244,"14T ",25/08/2014,95,"Routine","12789 MIDWAY RD ,DALLAS,TX,75244","32,763359","-96,897163"
"WAL-MART GROCERY ","12789 MIDWAY RD ",,75244,"14T ",25/08/2014,93,"Routine","12789 MIDWAY RD ,DALLAS,TX,75244","32,922256","-96,838989"
"WAL-MART #5931 BAKERY ","13739 N CENTRAL EXPW ",,75243,"16Q ",01/08/2014,97,"Routine","13739 N CENTRAL EXPW ,DALLAS,TX,75243","32,922256","-96,838989"
"WAL-MART #5931 DELI ","13739 N CENTRAL EXPW ",,75243,"16Q ",01/08/2014,93,"Routine","13739 N CENTRAL EXPW ,DALLAS,TX,75243","32,936745","-96,752174"
"WAL-MART #5931 MEAT &FISH ","13739 N CENTRAL EXPW ",,75243,"16Q ",01/08/2014,96,"Routine","13739 N CENTRAL EXPW ,DALLAS,TX,75243","32,936745","-96,752174"
"WAL-MART GROCERY/PRODUCE ","13739 N CENTRAL EXPW ",,75243,"16Q ",01/08/2014,82,"Routine","13739 N CENTRAL EXPW ,DALLAS,TX,75243","32,936745","-96,752174"
"WAL-MART MARKET #3171 BAKERY ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,96,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,936745","-96,752174"
"WAL-MART MARKET #3171 DELI ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,89,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART MARKET #3171 GROCERY ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,96,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART MARKET #3171 BAKERY ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,96,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART MARKET #3171 DELI ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,89,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART MARKET #3171 GROCERY ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,96,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART MARKET #3171 BAKERY ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,96,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART MARKET #3171 DELI ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,89,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART MARKET #3171 GROCERY ","2218 GREENVILLE AVE ",,75206,"36T ",23/09/2014,96,"Routine","2218 GREENVILLE AVE ,DALLAS,TX,75206","32,816456","-96,769608"
"WAL-MART NEIGHBORHOOD MKT GROCERY ","2275 GUS THOMASSON RD ",,75228,"38M ",28/09/2014,94,"Routine","2275 GUS THOMASSON RD ,DALLAS,TX,75228","32,816456","-96,769608"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,8349148","-96,6755294"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"MCDONALDS ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,96,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPER CENTER #2427-DELI ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,89,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-BAKERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-GROCERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"MCDONALDS ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,96,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPER CENTER #2427-DELI ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,89,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-BAKERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-GROCERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"MCDONALDS ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,96,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPER CENTER #2427-DELI ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,89,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-BAKERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-GROCERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"FISH- WAL-MART SUPERCENTER #2427 ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"MCDONALDS ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,96,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPER CENTER #2427-DELI ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,89,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-BAKERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-GROCERY ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,97,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #2427-MEAT ","9301 FOREST LN ",,75243,"16Z ",17/07/2014,100,"Routine","9301 FOREST LN ,DALLAS,TX,75243","32,9092777","-96,739024"
"WAL-MART GROCERY ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,92,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,9092777","-96,739024"
"WAL-MART SUPERCENTER #5147 - BAKERY ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,100,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,763359","-96,897163"
"WAL-MART SUPERCENTER #5147 - DELI ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,89,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,763359","-96,897163"
"WAL-MART GROCERY ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,92,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,763359","-96,897163"
"WAL-MART SUPERCENTER #5147 - BAKERY ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,100,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,763359","-96,897163"
"WAL-MART SUPERCENTER #5147 - DELI ","1521 N COCKRELL HILL RD ",,75211,"52R ",17/11/2014,89,"Routine","1521 N COCKRELL HILL RD ,DALLAS,TX,75211","32,763359","-96,897163"
"WALGREENS ","10152 LAKE JUNE RD ",,75217,"59L ",11/06/2014,93,"Routine","10152 LAKE JUNE RD ,DALLAS,TX,75217","32,763359","-96,897163"
"WALGREENS ","3211 S LANCASTER RD ",,75216,"55T ",20/02/2014,86,"Routine","3211 S LANCASTER RD ,DALLAS,TX,75216","32,733662","-96,649055"
"WALGREENS ","9807 WALNUT HILL LN ",,75238,"27Q ",05/08/2014,97,"Routine","9807 WALNUT HILL LN ,DALLAS,TX,75238","32,707626","-96,80246"
"WALGREENS # 05710 ","18410 PRESTON RD ",,75252,"05F ",21/07/2014,97,"Routine","18410 PRESTON RD ,DALLAS,TX,75252","32,879459","-96,717308"
"WALGREENS #03879 ","3732 W NORTHWEST HWY ",,75220,"23Z ",16/09/2014,93,"Routine","3732 W NORTHWEST HWY ,DALLAS,TX,75220","33,001278","-96,79557"
"WALGREENS #03880 ","7586 MOUNTAIN CREEK PKWY ",,75249,334,16/10/2014,96,"Routine","7586 MOUNTAIN CREEK PKWY ,DALLAS,TX,75249","32,8608216","-96,8555371"
"WALGREENS #03957 ","5101 S LANCASTER RD ",,75216,"65G ",16/10/2014,87,"Routine","5101 S LANCASTER RD ,DALLAS,TX,75216","32,631989","-96,944458"
"WALGREENS #04012 ","6707 W NORTHWEST HWY ",,75225,"25U ",11/08/2014,86,"Routine","6707 W NORTHWEST HWY ,DALLAS,TX,75225","32,685482","-96,790253"
"WALGREENS #04013 ","18207 MIDWAY RD ",,75252,"04F ",26/08/2014,96,"Routine","18207 MIDWAY RD ,DALLAS,TX,75252","32,8661","-96,788963"
"WALGREENS #04203 ","438 W ILLINOIS AVE ",,75224,"54U ",14/07/2014,96,"Routine","438 W ILLINOIS AVE ,DALLAS,TX,75224","32,9976349","-96,8444595"
"WALGREENS #04459 ","8120 S COCKRELL HILL RD ",,75237,"72D ",22/10/2014,92,"Routine","8120 S COCKRELL HILL RD ,DALLAS,TX,75237","32,719925","-96,829659"
"WALGREENS #04624 ","1460 ROBERT B CULLUM BLVD ",,75210,"46P ",25/11/2014,100,"Routine","1460 ROBERT B CULLUM BLVD ,DALLAS,TX,75210","32,648064","-96,890831"
"WALGREENS #04705 ","2060 S BUCKNER BLVD ",,75217,"58C ",12/06/2014,96,"Routine","2060 S BUCKNER BLVD ,DALLAS,TX,75217","32,7763306","-96,7633329"
"WALGREENS #04817 ","6515 ABRAMS RD ",,75231,"26Z ",27/10/2014,94,"Routine","6515 ABRAMS RD ,DALLAS,TX,75231","32,7484417","-96,6827466"
"WALGREENS #05092 ","3418 MCKINNEY AVE ",,75204,"35Y ",24/11/2014,100,"Routine","3418 MCKINNEY AVE ,DALLAS,TX,75204","32,8634843","-96,7443153"
"WALGREENS #05093 ","1306 N BECKLEY AVE ",,75203,"44Z ",25/02/2014,90,"Routine","1306 N BECKLEY AVE ,DALLAS,TX,75203","32,805115","-96,798164"
"WALGREENS #05162 ","8310 ABRAMS RD ",,75243,"27E ",28/10/2014,100,"Routine","8310 ABRAMS RD ,DALLAS,TX,75243","32,759403","-96,822281"
"WALGREENS #05507 ","13022 PRESTON RD ",,75240,"15P ",05/05/2014,93,"Routine","13022 PRESTON RD ,DALLAS,TX,75240","32,8933454","-96,7405569"
"WALGREENS #05826 ","7930 BELTLINE RD ",,75240,"16A ",20/10/2014,93,"Routine","7930 BELTLINE RD ,DALLAS,TX,75240","32,926929","-96,802971"
"WALGREENS #05920 ","1060 W CAMP WISDOM RD ",,75232,"64T ",24/07/2014,92,"Routine","1060 W CAMP WISDOM RD ,DALLAS,TX,75232","32,9504166","-96,7698364"
"WALGREENS #06120 ","9937 GARLAND RD ",,75218,"38G ",20/07/2014,100,"Routine","9937 GARLAND RD ,DALLAS,TX,75218","32,661785","-96,839294"
"WALGREENS #06197 ","2401 W LEDBETTER DR ",,75233,"63H ",15/10/2014,89,"Routine","2401 W LEDBETTER DR ,DALLAS,TX,75233","32,838436","-96,697304"
"WALGREENS #06660 ","5742 E MOCKINGBIRD LN ",,75206,"36X ",26/06/2014,100,"Routine","5742 E MOCKINGBIRD LN ,DALLAS,TX,75206","32,691792","-96,85762"
"WALGREENS #07334 ","5001 ROSS AVE ",,75206,"36W ",28/08/2014,96,"Routine","5001 ROSS AVE ,DALLAS,TX,75206","32,836109","-96,768448"
"WALGREENS #07783 ","2301 LAKELAND DR ",,75228,"38N ",26/05/2014,100,"Routine","2301 LAKELAND DR ,DALLAS,TX,75228","32,808006","-96,77478"
"WALGREENS #07839 ","3802 CEDAR SPRINGS RD ",,75219,"35W ",24/09/2014,93,"Routine","3802 CEDAR SPRINGS RD ,DALLAS,TX,75219","32,811214","-96,701553"
"WALGREENS #09015 ","4702 N JIM MILLER RD ",,75227,"48N ",26/05/2014,100,"Routine","4702 N JIM MILLER RD ,DALLAS,TX,75227","32,809933","-96,808777"
"WALGREENS #09126 ","2602 FORT WORTH AVE ",,75211,"43Y ",19/08/2014,96,"Routine","2602 FORT WORTH AVE ,DALLAS,TX,75211","32,778557","-96,699409"
"CORNER BAKERY CAFE ","11700 PRESTON RD ","#880 ",75230,"15X ",18/11/2014,83,"Routine","11700 PRESTON RD ,DALLAS,TX,75230","32,757793","-96,864479"
"WALGREENS #15288 ","5959 HARRY HINES BLVD ",100,75235,"34X ",16/01/2014,100,"Routine","5959 HARRY HINES BLVD ,DALLAS,TX,75235","32,908848","-96,803421"
"WALGREENS #3956 ","1104 S WESTMORELAND RD ",,75211,"53K ",18/08/2014,93,"Routine","1104 S WESTMORELAND RD ,DALLAS,TX,75211","32,817295","-96,845192"
"WALGREENS #9647 ","5201 BELTLINE RD ",,75240,"15A ",09/09/2014,93,"Routine","5201 BELTLINE RD ,DALLAS,TX,75240","32,733997","-96,87352"
"WALGREENS $#06891 ","11403 E NORTHWEST HWY ",,75218,"28Y ",20/11/2014,94,"Routine","11403 E NORTHWEST HWY ,DALLAS,TX,75218","32,9547501","-96,8189468"
"WALKER'S BARBEQUE ","4715 S MALCOLM X BLVD ",,75215,"56D ",20/11/2014,81,"Routine","4715 S MALCOLM X BLVD ,DALLAS,TX,75215","32,864727","-96,682571"
"WALLACE ELEMENTARY ","9921 KIRKHAVEN DR ",,75238,"27M ",03/09/2014,94,"Routine","9921 KIRKHAVEN DR ,DALLAS,TX,75238","32,755581","-96,752769"
"WALMART #0949 BAKERY ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,91,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,8834601","-96,7071795"
"WALMART #0949 DELI ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,94,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 GROCERY ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,93,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 PRODUCE ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,100,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 BAKERY ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,91,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 DELI ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,94,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 GROCERY ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,93,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 PRODUCE ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,100,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 BAKERY ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,91,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 DELI ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,94,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 GROCERY ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,93,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 PRODUCE ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,100,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 BAKERY ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,91,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
"WALMART #0949 DELI ","3155 W WHEATLAND RD ",,75237,"73B ",03/04/2014,94,"Routine","3155 W WHEATLAND RD ,DALLAS,TX,75237","32,647873","-96,871414"
